original,convert
bantu,bantu
confirm,konfirmasi
ea,ya
gub,gubernur
mengajukan,mengajukan
konfirmasi,konfirmasi
bermafaat,bermanfaat
semuatks,semua terimakasih
xie,si
mah,mah
sbagai,sebagai
perkebangan,perkembangan
downlood,download
dululah,dahulu
haha,haha
gunaaduan,guna aduan
blm,belum
mhn,mohon
diaktifkan,diaktifkan
berkarya,berkarya
demi,demi
sehatsemangat,sehat semangat
menguntungkan,menguntungkan
pejabat,pejabat
smga,semoga
nyoba,mencoba
reueus,kagum
urang,kami
ti,dari
cianjur,cianjur
tiga,tiga
duluuusoalnya,dulu soalnya
sya,saya
sembakohehehehe,sembako
midah,midah
kebingungan,kebingungan
sllu,selalu
mang,memang
pasang,pasang
tahu,tahu
tambihan,tambahan
updatepositip,update positif
meninggal,meninggal
woiga,woiga
hati,hati
terimaksihskrg,terimakasih sekarang
mantau,mantau
lwatapliksi,lewat aplikasi
bagussss,bagus
apkh,apakah
rata,rata
ter,ter
bulan,bulan
jendela,jendela
disempurnakan,disempurnakan
pungli,pungli
dibawah,dibawah
af,apa
umkm,umkm
fakta,fakta
ucapan,ucapan
mf,maaf
ksh,kasih
bntang,bintang
